date,HLY_TEMP_NORMAL_LA,HLY_TEMP_10PCTL_LA,HLY_TEMP_90PCTL_LA,HLY_DEWP_NORMAL_LA,HLY_DEWP_10PCTL_LA,HLY_DEWP_90PCTL_LA,HLY_PRES_NORMAL_LA,HLY_PRES_10PCTL_LA,HLY_PRES_90PCTL_LA,HLY_CLDH_NORMAL_LA,HLY_HTDH_NORMAL_LA,HLY_CLOD_PCTCLR_LA,HLY_CLOD_PCTFEW_LA,HLY_CLOD_PCTSCT_LA,HLY_CLOD_PCTBKN_LA,HLY_CLOD_PCTOVC_LA,HLY_HIDX_NORMAL_LA,HLY_WCHL_NORMAL_LA,HLY_WIND_AVGSPD_LA,HLY_WIND_PCTCLM_LA,HLY_WIND_VCTDIR_LA,HLY_WIND_VCTSPD_LA,HLY_WIND_1STDIR_LA,HLY_WIND_1STPCT_LA,HLY_WIND_2NDDIR_LA,HLY_WIND_2NDPCT_LA
12-07T02:00:00,54.2,48.9,59.4,42.3,23.0,55.0,1018.4,1013.5,1023.0,0.0,10.8,34.9,18.2,16.4,14.4,16.2,54.2,54.0,4.7,22.0,56.0,2.5,3.0,32.5,2.0,17.9
12-07T03:00:00,53.5,48.0,59.0,41.7,23.0,55.0,1018.3,1013.5,1022.9,0.0,11.5,32.7,22.2,13.7,15.2,16.2,53.5,53.2,4.3,24.9,53.0,2.5,3.0,29.9,2.0,22.6
12-07T04:00:00,52.9,48.0,57.9,41.2,23.0,54.0,1018.1,1013.3,1022.7,0.0,12.1,28.8,19.9,13.7,18.4,19.1,52.9,52.5,4.3,26.0,52.0,2.4,3.0,28.3,2.0,24.0
12-07T05:00:00,52.5,46.9,57.9,40.6,21.9,54.0,1018.2,1013.5,1022.8,0.0,12.5,32.2,21.7,15.7,14.9,15.4,52.5,52.0,4.1,27.6,52.0,2.4,3.0,29.3,2.0,22.4
12-07T06:00:00,52.3,46.4,57.9,40.4,21.9,54.0,1018.5,1013.9,1023.0,0.0,12.8,28.9,24.6,15.2,15.0,16.3,52.3,51.7,4.2,25.6,54.0,2.6,3.0,28.9,2.0,21.7
12-07T07:00:00,53.0,46.9,57.9,39.9,21.0,54.0,1018.9,1014.1,1023.4,0.0,12.0,15.7,18.6,32.7,15.4,17.6,53.0,52.5,4.8,19.8,57.0,2.7,3.0,31.1,2.0,21.8
12-07T08:00:00,54.8,50.0,60.1,40.3,21.0,54.0,1019.3,1014.2,1023.7,0.0,10.2,15.5,20.4,28.0,19.3,16.8,54.8,54.6,5.1,16.0,59.0,3.1,3.0,31.8,2.0,25.0
12-07T09:00:00,58.0,53.1,64.0,40.6,21.0,55.0,1019.7,1014.8,1024.2,0.2,7.1,16.5,21.9,26.7,18.4,16.5,58.0,58.0,5.7,13.3,65.0,3.1,3.0,32.8,2.0,22.0
12-07T10:00:00,61.0,55.9,68.0,40.8,21.0,55.0,1019.9,1015.0,1024.4,0.7,4.6,13.9,21.5,19.7,28.5,16.4,61.0,61.0,5.8,14.3,63.0,2.4,3.0,28.2,2.0,19.0
12-07T11:00:00,63.4,57.0,71.1,40.7,19.0,55.0,1019.4,1014.3,1024.0,1.4,3.1,16.8,24.4,25.4,18.7,14.8,63.4,63.4,6.0,16.2,71.0,0.3,3.0,17.7,7.0,15.6
12-07T12:00:00,64.6,59.0,72.0,41.2,19.9,55.0,1018.6,1013.5,1023.0,1.9,2.4,17.0,23.8,25.1,19.1,14.9,64.6,64.5,7.0,14.0,252.0,3.1,7.0,29.9,6.0,17.7
12-07T13:00:00,64.5,57.9,72.0,42.6,21.9,55.9,1017.8,1012.9,1022.4,1.8,2.3,17.1,25.1,23.6,18.9,15.3,64.5,64.5,9.1,3.8,255.0,6.2,7.0,48.9,6.0,21.7
12-07T14:00:00,63.9,59.0,70.0,44.2,26.1,55.9,1017.4,1012.7,1022.0,1.5,2.5,18.3,22.5,25.7,20.7,12.8,63.9,63.9,10.1,1.8,257.0,7.8,7.0,56.8,6.0,22.7
12-07T15:00:00,63.0,57.9,69.1,45.2,28.0,57.0,1017.3,1012.7,1021.9,1.0,3.1,16.1,26.2,25.2,19.6,12.8,63.0,62.9,10.1,0.7,260.0,8.0,7.0,64.5,6.0,17.9
