date,HLY_TEMP_NORMAL_SF,HLY_TEMP_10PCTL_SF,HLY_TEMP_90PCTL_SF,HLY_DEWP_NORMAL_SF,HLY_DEWP_10PCTL_SF,HLY_DEWP_90PCTL_SF,HLY_PRES_NORMAL_SF,HLY_PRES_10PCTL_SF,HLY_PRES_90PCTL_SF,HLY_CLDH_NORMAL_SF,HLY_HTDH_NORMAL_SF,HLY_CLOD_PCTCLR_SF,HLY_CLOD_PCTFEW_SF,HLY_CLOD_PCTSCT_SF,HLY_CLOD_PCTBKN_SF,HLY_CLOD_PCTOVC_SF,HLY_HIDX_NORMAL_SF,HLY_WCHL_NORMAL_SF,HLY_WIND_AVGSPD_SF,HLY_WIND_PCTCLM_SF,HLY_WIND_VCTDIR_SF,HLY_WIND_VCTSPD_SF,HLY_WIND_1STDIR_SF,HLY_WIND_1STPCT_SF,HLY_WIND_2NDDIR_SF,HLY_WIND_2NDPCT_SF
07-25T12:00:00,69.0,64.9,74.5,54.8,51.1,57.9,1015.2,1012.4,1018.3,4.2,0.2,18.7,53.6,17.3,7.6,2.8,69.0,69.0,14.7,0.0,297.0,12.1,8.0,44.2,7.0,30.2
07-25T13:00:00,69.9,64.9,75.0,54.5,51.1,57.9,1014.9,1011.9,1017.9,5.0,0.2,18.7,55.7,16.6,7.5,1.4,69.9,69.9,16.6,0.2,291.0,14.7,8.0,46.2,7.0,38.7
07-25T14:00:00,70.0,64.9,75.0,54.4,51.1,57.9,1014.5,1011.5,1017.7,5.2,0.1,15.6,54.3,20.3,7.7,2.1,70.0,70.0,18.4,0.2,287.0,16.9,7.0,47.0,8.0,42.1
07-25T15:00:00,69.2,64.0,73.9,54.2,51.1,57.0,1014.2,1011.1,1017.3,4.5,0.2,14.8,52.4,22.9,8.1,1.8,69.2,69.2,19.4,0.0,284.0,17.9,7.0,52.9,8.0,35.8
07-25T16:00:00,67.9,63.0,73.0,54.0,51.1,57.0,1013.9,1010.9,1016.9,3.3,0.5,14.9,50.9,21.2,10.8,2.3,67.9,67.9,20.0,0.2,282.0,18.6,7.0,60.7,8.0,30.3
07-25T17:00:00,66.1,62.1,71.1,53.9,51.1,57.0,1013.7,1010.7,1016.8,2.0,1.0,12.9,51.7,22.6,10.6,2.1,66.1,66.1,19.4,0.2,281.0,18.1,7.0,62.8,8.0,28.8
07-25T18:00:00,63.8,59.0,68.0,53.7,51.1,57.0,1013.6,1010.7,1016.7,1.1,2.2,12.6,50.2,21.4,14.0,1.9,63.8,63.8,18.2,0.0,282.0,17.2,7.0,63.8,8.0,28.9
07-25T19:00:00,61.3,57.9,64.9,53.6,51.1,57.0,1013.8,1011.0,1016.8,0.4,4.1,11.6,45.8,25.0,13.7,4.0,61.3,61.3,16.5,0.0,281.0,15.5,7.0,63.9,8.0,28.6
07-25T20:00:00,59.8,55.9,64.0,53.6,51.1,57.0,1014.1,1011.2,1017.0,0.2,5.4,12.9,45.8,20.3,15.5,5.5,59.8,59.8,14.8,0.2,280.0,13.8,7.0,65.6,8.0,25.5
07-25T21:00:00,59.2,55.9,63.0,53.6,51.1,57.0,1014.6,1011.7,1017.6,0.2,6.0,16.2,47.6,14.8,13.1,8.3,59.2,59.2,13.3,0.2,279.0,12.5,7.0,68.9,8.0,24.3
07-25T22:00:00,58.8,55.9,63.0,53.7,51.1,57.0,1014.7,1011.8,1017.7,0.1,6.3,16.6,42.4,15.0,15.0,11.1,58.8,58.8,12.0,0.9,279.0,11.2,7.0,62.7,8.0,25.7
07-25T23:00:00,58.5,55.0,62.1,53.6,51.1,57.0,1014.7,1011.8,1017.7,0.1,6.6,16.5,40.6,17.4,13.1,12.4,58.5,58.5,10.8,1.1,279.0,10.1,7.0,61.0,8.0,25.9
07-26T00:00:00,58.1,55.0,61.0,53.5,51.1,57.0,1014.7,1011.7,1017.7,0.1,7.0,15.1,38.7,15.9,14.2,16.1,58.1,58.1,9.9,2.7,277.0,9.2,7.0,63.8,8.0,22.1
07-26T01:00:00,57.9,55.0,61.0,53.5,50.0,57.0,1014.5,1011.6,1017.5,0.0,7.2,15.2,32.5,15.2,15.9,21.3,57.9,57.9,9.5,3.6,276.0,8.7,7.0,61.9,8.0,21.4
07-26T02:00:00,57.6,55.0,61.0,53.3,50.0,55.9,1014.4,1011.4,1017.3,0.0,7.4,13.0,30.0,15.5,15.8,25.8,57.6,57.6,9.0,2.2,274.0,8.2,7.0,63.6,8.0,17.8
07-26T03:00:00,57.4,54.7,61.0,53.2,50.0,55.9,1014.3,1011.2,1017.4,0.0,7.6,12.2,25.8,14.8,18.6,28.6,57.4,57.4,8.4,5.1,273.0,7.6,7.0,61.2,6.0,15.6
07-26T04:00:00,57.2,54.0,61.0,53.1,50.0,55.9,1014.4,1011.4,1017.4,0.0,7.8,9.5,22.9,11.8,21.2,34.6,57.2,57.2,8.1,6.0,272.0,7.3,7.0,59.6,6.0,16.7
07-26T05:00:00,57.2,54.0,61.0,53.0,50.0,55.9,1014.6,1011.7,1017.6,0.0,7.9,5.8,18.4,17.8,18.9,39.1,57.2,57.2,7.5,6.9,270.0,6.6,7.0,55.0,6.0,17.5
07-26T06:00:00,57.7,55.0,61.0,53.2,50.0,55.9,1015.0,1012.0,1017.9,0.0,7.4,6.4,19.2,14.1,20.5,39.7,57.7,57.7,7.4,7.1,269.0,6.3,7.0,50.6,6.0,17.4
07-26T07:00:00,59.4,55.9,63.0,53.6,51.1,57.0,1015.3,1012.4,1018.2,0.1,5.8,7.2,18.1,17.1,17.9,39.7,59.4,59.4,6.8,15.8,269.0,5.5,7.0,33.6,8.0,23.5
07-26T08:00:00,61.4,57.9,66.0,54.0,51.1,57.0,1015.5,1012.7,1018.5,0.3,4.0,8.1,19.5,21.3,18.7,32.4,61.4,61.4,7.6,9.1,279.0,5.4,8.0,31.2,7.0,30.0
07-26T09:00:00,63.4,59.0,66.9,54.5,51.1,57.9,1015.5,1012.7,1018.6,0.7,2.3,8.5,29.3,25.9,18.0,18.3,63.4,63.4,9.0,2.2,299.0,6.1,8.0,33.3,7.0,22.6
07-26T10:00:00,65.4,61.0,69.1,54.9,51.1,59.0,1015.6,1012.7,1018.5,1.5,1.1,11.7,41.9,20.8,19.9,5.7,65.4,65.4,10.5,0.9,304.0,7.3,8.0,31.4,7.0,24.3
07-26T11:00:00,67.3,63.0,72.0,55.0,51.1,59.0,1015.4,1012.6,1018.4,2.8,0.5,15.1,50.1,19.1,12.1,3.5,67.3,67.3,12.3,1.3,303.0,9.5,8.0,40.6,7.0,24.1
07-26T12:00:00,68.9,64.9,75.0,54.8,51.1,59.0,1015.2,1012.4,1018.3,4.1,0.2,18.2,53.9,17.7,6.9,3.3,68.9,68.9,14.8,0.0,297.0,12.3,8.0,44.8,7.0,30.8
07-26T13:00:00,69.8,64.9,75.0,54.5,51.1,57.9,1014.9,1011.9,1017.9,5.0,0.2,18.5,56.5,15.7,7.5,1.9,69.8,69.8,16.7,0.2,292.0,14.9,8.0,46.3,7.0,39.5
07-26T14:00:00,70.0,64.9,75.0,54.4,51.1,57.9,1014.5,1011.5,1017.6,5.1,0.1,15.6,54.1,20.3,7.5,2.6,70.0,70.0,18.5,0.2,288.0,17.0,7.0,47.1,8.0,42.4
07-26T15:00:00,69.2,64.0,73.9,54.2,51.1,57.0,1014.2,1011.1,1017.3,4.4,0.2,15.0,51.3,23.3,8.1,2.3,69.2,69.2,19.6,0.0,284.0,18.1,7.0,53.5,8.0,35.9
07-26T16:00:00,67.8,63.0,73.0,54.0,51.1,57.0,1013.9,1010.9,1016.9,3.3,0.5,14.6,50.5,20.9,11.3,2.7,67.8,67.8,20.1,0.2,282.0,18.8,7.0,62.2,8.0,29.4
07-26T17:00:00,66.0,62.1,71.1,53.9,51.1,57.0,1013.7,1010.7,1016.7,2.0,1.0,12.5,52.0,22.0,11.1,2.3,66.0,66.0,19.4,0.2,281.0,18.2,7.0,63.3,8.0,28.1
07-26T18:00:00,63.8,59.0,68.0,53.7,51.1,57.0,1013.6,1010.7,1016.6,1.0,2.3,11.9,50.8,20.5,14.7,2.1,63.8,63.8,18.3,0.0,282.0,17.3,7.0,64.9,8.0,27.7
07-26T19:00:00,61.3,57.2,64.9,53.6,51.1,57.0,1013.8,1011.0,1016.8,0.4,4.2,10.6,46.6,24.6,13.9,4.3,61.3,61.3,16.5,0.0,281.0,15.6,7.0,64.9,8.0,27.9
07-26T20:00:00,59.7,55.9,64.0,53.6,51.1,57.0,1014.1,1011.3,1016.9,0.2,5.5,11.9,47.3,19.3,15.5,6.0,59.7,59.7,14.9,0.2,280.0,14.0,7.0,66.1,8.0,25.3
07-26T21:00:00,59.2,55.9,63.0,53.6,51.1,55.9,1014.6,1011.7,1017.6,0.2,6.0,15.5,47.1,15.2,13.6,8.6,59.2,59.2,13.3,0.2,280.0,12.6,7.0,68.9,8.0,25.0
07-26T22:00:00,58.8,55.9,63.0,53.7,51.1,57.0,1014.7,1011.9,1017.6,0.1,6.4,15.9,42.5,15.2,14.3,12.0,58.8,58.8,12.1,0.9,279.0,11.3,7.0,63.2,8.0,25.5
07-26T23:00:00,58.4,55.0,62.1,53.6,51.1,57.0,1014.7,1011.9,1017.6,0.1,6.7,16.0,40.7,16.9,13.6,12.9,58.4,58.4,10.8,1.1,279.0,10.1,7.0,60.8,8.0,25.9
07-27T00:00:00,58.1,55.0,61.0,53.5,51.1,55.9,1014.7,1011.7,1017.6,0.1,7.0,15.4,37.7,16.1,13.9,16.8,58.1,58.1,10.1,2.0,277.0,9.4,7.0,64.0,8.0,21.8
07-27T01:00:00,57.8,55.0,61.0,53.5,50.0,57.0,1014.5,1011.7,1017.3,0.0,7.2,15.9,32.4,13.9,16.3,21.5,57.8,57.8,9.5,3.1,276.0,8.8,7.0,61.9,8.0,22.2
07-27T02:00:00,57.6,55.0,61.0,53.3,50.0,55.9,1014.4,1011.5,1017.3,0.0,7.4,13.5,29.0,15.2,15.8,26.5,57.6,57.6,9.1,2.7,274.0,8.3,7.0,63.8,8.0,17.8
07-27T03:00:00,57.4,54.5,61.0,53.2,50.0,55.9,1014.3,1011.3,1017.3,0.0,7.7,12.9,25.1,14.2,18.8,28.9,57.4,57.4,8.4,4.7,273.0,7.7,7.0,61.1,6.0,16.1
07-27T04:00:00,57.2,54.0,61.0,53.1,50.0,55.9,1014.3,1011.5,1017.3,0.0,7.8,10.4,22.2,11.5,21.2,34.6,57.2,57.2,8.0,6.0,272.0,7.2,7.0,59.7,6.0,16.7
07-27T05:00:00,57.1,54.0,60.1,53.1,50.0,55.9,1014.6,1011.8,1017.6,0.0,7.9,6.0,18.6,17.3,19.1,39.0,57.1,57.1,7.5,7.1,270.0,6.5,7.0,55.0,6.0,17.0
07-27T06:00:00,57.6,55.0,61.0,53.2,50.0,55.9,1014.9,1012.1,1017.9,0.0,7.4,6.4,19.2,13.3,20.3,40.8,57.6,57.6,7.4,7.8,269.0,6.3,7.0,51.1,8.0,17.1
07-27T07:00:00,59.3,55.9,63.0,53.6,50.9,57.0,1015.3,1012.4,1018.1,0.1,5.8,7.2,18.6,15.2,18.4,40.7,59.3,59.3,6.8,15.3,268.0,5.5,7.0,33.6,8.0,23.2
07-27T08:00:00,61.3,57.9,66.0,54.0,51.1,57.0,1015.5,1012.7,1018.4,0.3,4.0,7.9,19.3,20.8,19.0,33.0,61.3,61.3,7.6,9.6,280.0,5.4,8.0,31.8,7.0,30.0
07-27T09:00:00,63.3,59.0,66.9,54.5,51.1,57.9,1015.5,1012.7,1018.5,0.7,2.4,8.4,29.8,25.1,18.2,18.5,63.3,63.3,9.0,2.4,299.0,6.1,8.0,35.0,7.0,21.9
07-27T10:00:00,65.3,61.0,69.1,54.9,51.1,59.0,1015.5,1012.8,1018.4,1.5,1.1,11.4,42.5,20.3,19.6,6.2,65.3,65.3,10.5,0.9,304.0,7.4,8.0,32.1,7.0,24.5
