date,HLY_TEMP_NORMAL_LA,HLY_TEMP_10PCTL_LA,HLY_TEMP_90PCTL_LA,HLY_DEWP_NORMAL_LA,HLY_DEWP_10PCTL_LA,HLY_DEWP_90PCTL_LA,HLY_PRES_NORMAL_LA,HLY_PRES_10PCTL_LA,HLY_PRES_90PCTL_LA,HLY_CLDH_NORMAL_LA,HLY_HTDH_NORMAL_LA,HLY_CLOD_PCTCLR_LA,HLY_CLOD_PCTFEW_LA,HLY_CLOD_PCTSCT_LA,HLY_CLOD_PCTBKN_LA,HLY_CLOD_PCTOVC_LA,HLY_HIDX_NORMAL_LA,HLY_WCHL_NORMAL_LA,HLY_WIND_AVGSPD_LA,HLY_WIND_PCTCLM_LA,HLY_WIND_VCTDIR_LA,HLY_WIND_VCTSPD_LA,HLY_WIND_1STDIR_LA,HLY_WIND_1STPCT_LA,HLY_WIND_2NDDIR_LA,HLY_WIND_2NDPCT_LA,Megawatts_2021
11-28T15:00:00,64.5,59.0,72.0,44.8,27.0,56.8,1016.4,1012.1,1020.9,1.7,2.2,17.7,25.0,26.9,18.4,11.9,64.5,64.4,10.3,0.7,259.0,8.5,7.0,65.4,6.0,20.6,21646.58333333333
11-28T16:00:00,63.1,57.9,70.0,45.9,28.9,57.0,1016.5,1012.0,1021.0,1.1,3.0,16.4,25.7,21.8,23.8,12.3,63.1,63.0,10.1,1.3,263.0,8.2,7.0,65.9,6.0,18.7,23653.416666666668
11-28T17:00:00,61.2,57.0,66.9,46.9,32.0,57.0,1016.6,1012.2,1021.0,0.6,4.3,15.3,29.2,25.1,20.2,10.2,61.2,61.2,8.8,2.0,265.0,7.1,7.0,58.2,6.0,20.0,25699.83333333333
11-28T18:00:00,60.5,55.9,66.0,47.1,32.0,57.0,1016.9,1012.4,1021.3,0.4,4.9,25.1,23.3,22.6,18.2,10.8,60.5,60.5,7.6,4.7,266.0,5.6,7.0,47.6,6.0,24.6,25620.5
11-28T19:00:00,60.0,55.9,64.9,46.7,29.3,57.0,1017.2,1012.6,1021.5,0.3,5.2,35.5,20.0,16.3,18.5,9.7,60.0,60.0,6.4,12.7,274.0,4.0,7.0,37.1,6.0,18.8,25209.5
11-28T20:00:00,59.7,55.9,64.0,46.1,26.1,57.0,1017.4,1012.8,1022.0,0.2,5.5,40.2,18.1,15.7,15.2,10.8,59.7,59.7,5.5,18.7,291.0,2.6,7.0,24.1,6.0,14.8,24409.08333333333
11-28T21:00:00,59.1,55.0,64.0,45.3,24.1,57.0,1017.7,1013.0,1022.2,0.2,6.1,42.3,17.7,15.1,14.6,10.3,59.1,59.1,5.0,19.6,335.0,1.1,7.0,15.0,1.0,15.0,23624.58333333333
11-28T22:00:00,58.4,53.6,63.0,44.9,24.1,57.0,1017.8,1013.2,1022.3,0.1,6.8,39.4,17.8,13.5,14.4,14.9,58.4,58.3,5.0,22.1,28.0,1.2,3.0,19.2,1.0,13.9,22179.33333333333
11-28T23:00:00,58.1,53.1,63.0,44.0,24.1,57.0,1017.9,1013.4,1022.6,0.1,7.1,42.3,17.7,15.7,12.7,11.7,58.1,58.0,5.3,18.9,33.0,1.8,3.0,24.0,2.0,15.9,20791.25
11-29T00:00:00,57.2,52.0,62.1,43.2,23.0,55.9,1017.8,1013.4,1022.3,0.1,7.9,39.7,19.6,14.1,15.6,11.1,57.2,57.2,5.3,16.7,44.0,2.5,3.0,28.7,2.0,20.8,20064.07692307692
11-29T01:00:00,56.3,51.1,61.5,42.6,23.0,55.9,1017.6,1013.3,1022.1,0.1,8.7,40.3,21.8,11.4,13.4,13.2,56.3,56.2,4.9,18.7,49.0,2.4,3.0,28.3,2.0,22.5,19400.25
11-29T02:00:00,55.1,50.0,60.1,41.9,21.0,55.0,1017.6,1013.3,1022.2,0.0,10.0,40.5,19.7,12.4,13.7,13.7,55.1,54.9,4.6,23.7,52.0,2.6,3.0,32.6,2.0,20.5,19098.0
11-29T03:00:00,54.2,48.9,59.7,41.4,21.9,55.0,1017.5,1013.2,1021.8,0.0,10.8,38.1,20.6,14.8,14.5,12.0,54.2,53.9,4.5,23.1,53.0,2.8,3.0,33.8,2.0,21.9,19120.25
11-29T04:00:00,53.7,48.9,59.0,40.9,22.5,55.0,1017.4,1012.8,1021.8,0.0,11.4,35.6,18.9,12.9,17.4,15.3,53.7,53.3,4.4,23.1,55.0,3.0,3.0,31.1,2.0,26.4,19731.33333333333
11-29T05:00:00,53.2,48.0,59.0,40.4,21.0,54.0,1017.5,1013.1,1022.1,0.0,11.8,37.2,24.2,13.3,13.5,11.7,53.2,52.8,4.2,27.1,58.0,2.8,3.0,30.0,2.0,23.2,21197.5
11-29T06:00:00,53.1,48.0,59.0,39.9,21.0,53.6,1017.8,1013.4,1022.2,0.0,11.9,29.1,27.0,17.1,16.5,10.2,53.1,52.7,4.3,26.7,58.0,2.7,3.0,29.1,2.0,22.9,23415.166666666668
11-29T07:00:00,53.8,48.0,59.0,39.3,19.9,53.1,1018.2,1013.8,1022.8,0.0,11.3,17.5,22.8,27.1,20.7,11.9,53.8,53.4,4.9,18.4,57.0,3.0,3.0,29.9,2.0,25.0,24394.08333333333
11-29T08:00:00,56.1,51.1,62.1,39.7,19.9,54.0,1018.6,1014.0,1023.2,0.1,9.1,17.0,22.6,26.7,20.8,12.9,56.1,55.9,5.2,14.2,58.0,3.3,3.0,32.7,2.0,28.5,23790.416666666668
