date,HLY_TEMP_NORMAL_LA,HLY_TEMP_10PCTL_LA,HLY_TEMP_90PCTL_LA,HLY_DEWP_NORMAL_LA,HLY_DEWP_10PCTL_LA,HLY_DEWP_90PCTL_LA,HLY_PRES_NORMAL_LA,HLY_PRES_10PCTL_LA,HLY_PRES_90PCTL_LA,HLY_CLDH_NORMAL_LA,HLY_HTDH_NORMAL_LA,HLY_CLOD_PCTCLR_LA,HLY_CLOD_PCTFEW_LA,HLY_CLOD_PCTSCT_LA,HLY_CLOD_PCTBKN_LA,HLY_CLOD_PCTOVC_LA,HLY_HIDX_NORMAL_LA,HLY_WCHL_NORMAL_LA,HLY_WIND_AVGSPD_LA,HLY_WIND_PCTCLM_LA,HLY_WIND_VCTDIR_LA,HLY_WIND_VCTSPD_LA,HLY_WIND_1STDIR_LA,HLY_WIND_1STPCT_LA,HLY_WIND_2NDDIR_LA,HLY_WIND_2NDPCT_LA,Megawatts_2019
12-26T09:00:00,55.6,50.0,62.1,37.4,19.9,52.0,1019.9,1014.7,1024.9,0.1,9.4,16.9,20.9,25.4,20.4,16.4,55.6,55.3,5.6,11.3,70.0,3.3,3.0,34.9,2.0,22.0,299205.0
12-26T10:00:00,58.9,53.1,66.0,37.7,19.9,52.0,1020.2,1014.9,1025.1,0.4,6.5,16.4,18.9,21.5,24.9,18.3,58.9,58.9,5.9,14.2,74.0,2.8,3.0,27.0,2.0,23.2,294608.0
12-26T11:00:00,61.6,55.0,70.0,37.7,19.9,52.0,1019.7,1014.7,1024.7,1.2,4.6,19.8,17.8,22.8,23.9,15.7,61.6,61.5,5.8,16.2,78.0,1.5,3.0,21.8,4.0,16.2,291346.0
12-26T12:00:00,63.0,55.9,72.0,38.1,19.9,53.1,1018.8,1013.6,1023.4,1.7,3.7,19.0,17.8,22.2,25.5,15.5,63.0,63.0,6.5,12.0,237.0,1.6,7.0,22.7,4.0,13.6,286398.0
12-26T13:00:00,63.3,57.0,72.0,39.9,21.9,54.0,1018.0,1012.9,1022.6,1.7,3.4,20.6,15.0,22.9,24.2,17.3,63.3,63.3,8.1,7.3,250.0,4.7,7.0,39.0,6.0,21.4,287730.0
12-26T14:00:00,62.8,55.9,71.1,41.0,23.0,54.0,1017.6,1012.4,1022.3,1.4,3.6,20.3,13.7,23.1,26.1,16.8,62.8,62.8,9.1,4.2,253.0,6.3,7.0,49.0,6.0,21.3,290456.0
12-26T15:00:00,61.8,55.9,69.1,42.2,26.1,54.0,1017.5,1012.3,1022.3,1.0,4.1,15.9,19.1,23.3,25.1,16.6,61.8,61.8,9.6,2.7,259.0,6.9,7.0,53.6,6.0,21.1,298361.0
12-26T16:00:00,60.5,55.0,66.9,43.1,28.0,55.0,1017.6,1012.5,1022.5,0.5,5.0,14.1,19.6,20.5,27.0,18.9,60.5,60.5,9.5,1.8,260.0,6.7,7.0,56.1,6.0,18.1,317892.0
12-26T17:00:00,58.7,54.0,64.0,44.0,28.0,55.0,1017.7,1012.6,1022.7,0.3,6.6,14.5,21.2,25.2,23.5,15.5,58.7,58.6,8.3,2.9,264.0,5.6,7.0,52.1,6.0,15.5,347222.0
12-26T18:00:00,57.8,53.1,63.0,44.1,28.0,55.0,1017.9,1012.7,1023.0,0.1,7.3,19.3,22.5,23.5,19.8,15.1,57.8,57.7,7.2,6.9,273.0,4.4,7.0,44.9,6.0,14.7,350332.0
12-26T19:00:00,57.2,53.1,62.1,43.8,27.0,55.0,1018.2,1012.9,1023.2,0.1,7.8,32.1,17.0,17.0,20.7,13.1,57.2,57.1,6.2,13.8,279.0,2.9,7.0,30.0,6.0,18.0,345163.0
