date,HLY_TEMP_NORMAL_LA,HLY_TEMP_10PCTL_LA,HLY_TEMP_90PCTL_LA,HLY_DEWP_NORMAL_LA,HLY_DEWP_10PCTL_LA,HLY_DEWP_90PCTL_LA,HLY_PRES_NORMAL_LA,HLY_PRES_10PCTL_LA,HLY_PRES_90PCTL_LA,HLY_CLDH_NORMAL_LA,HLY_HTDH_NORMAL_LA,HLY_CLOD_PCTCLR_LA,HLY_CLOD_PCTFEW_LA,HLY_CLOD_PCTSCT_LA,HLY_CLOD_PCTBKN_LA,HLY_CLOD_PCTOVC_LA,HLY_HIDX_NORMAL_LA,HLY_WCHL_NORMAL_LA,HLY_WIND_AVGSPD_LA,HLY_WIND_PCTCLM_LA,HLY_WIND_VCTDIR_LA,HLY_WIND_VCTSPD_LA,HLY_WIND_1STDIR_LA,HLY_WIND_1STPCT_LA,HLY_WIND_2NDDIR_LA,HLY_WIND_2NDPCT_LA,AvgMegawatts2019-2020
10-01T15:00:00,72.0,66.0,79.0,58.2,52.0,63.0,1011.7,1008.5,1014.4,7.0,0.0,24.3,29.7,25.6,12.5,7.9,72.0,72.0,13.1,0.0,257.0,12.8,7.0,82.3,6.0,16.1,32730.833333333336
10-01T16:00:00,70.8,64.9,77.0,58.5,52.0,63.0,1011.5,1008.2,1014.2,5.9,0.1,25.7,30.0,20.2,12.7,11.4,70.8,70.8,12.7,0.2,257.0,12.3,7.0,80.9,6.0,16.6,33157.95833333333
10-01T17:00:00,69.1,64.0,75.9,58.8,52.0,63.0,1011.4,1008.3,1014.2,4.3,0.2,28.2,28.2,20.5,11.2,11.9,69.1,69.1,11.5,0.2,257.0,11.1,7.0,77.6,6.0,20.3,32976.916666666664
10-01T18:00:00,67.5,63.0,73.0,59.2,53.1,64.0,1011.6,1008.3,1014.3,3.0,0.5,25.2,29.6,21.4,9.9,13.9,67.5,67.5,9.6,0.9,255.0,9.2,7.0,67.9,6.0,28.4,32124.666666666664
10-01T19:00:00,67.1,63.0,73.0,59.2,54.0,63.0,1011.9,1008.7,1014.6,2.7,0.6,38.3,19.0,17.4,11.2,14.0,67.1,67.1,8.1,1.1,253.0,7.6,7.0,58.2,6.0,35.2,31364.499999999993
10-01T20:00:00,66.8,63.0,72.0,59.1,54.0,63.0,1012.2,1009.0,1015.1,2.5,0.7,41.1,20.6,13.5,12.5,12.3,66.8,66.8,6.4,8.0,248.0,5.6,7.0,42.0,6.0,36.6,30095.166666666668
10-01T21:00:00,66.5,62.1,72.0,59.1,54.0,63.7,1012.5,1009.5,1015.3,2.3,0.8,42.0,22.5,9.6,10.1,15.7,66.5,66.5,5.5,12.2,239.0,4.2,6.0,37.2,7.0,29.3,29297.458333333332
10-01T22:00:00,66.3,62.1,71.1,58.9,52.0,63.9,1012.6,1009.5,1015.4,2.0,0.8,37.1,23.9,8.9,13.2,16.9,66.3,66.3,4.7,19.4,230.0,2.8,6.0,25.7,7.0,23.2,27745.0
10-01T23:00:00,65.9,62.1,70.0,58.8,53.1,63.0,1012.6,1009.5,1015.4,1.7,0.9,38.6,22.2,11.8,10.4,16.9,65.9,65.9,4.2,21.8,228.0,1.5,7.0,19.8,6.0,19.0,25494.363636363636
10-02T00:00:00,65.2,61.0,70.0,58.7,53.1,63.0,1012.6,1009.4,1015.3,1.4,1.2,39.0,19.3,11.0,10.7,20.0,65.2,65.2,4.1,22.9,210.0,0.8,7.0,19.3,3.0,18.4,23998.076923076922
