date,HLY_TEMP_NORMAL_LA,HLY_TEMP_10PCTL_LA,HLY_TEMP_90PCTL_LA,HLY_DEWP_NORMAL_LA,HLY_DEWP_10PCTL_LA,HLY_DEWP_90PCTL_LA,HLY_PRES_NORMAL_LA,HLY_PRES_10PCTL_LA,HLY_PRES_90PCTL_LA,HLY_CLDH_NORMAL_LA,HLY_HTDH_NORMAL_LA,HLY_CLOD_PCTCLR_LA,HLY_CLOD_PCTFEW_LA,HLY_CLOD_PCTSCT_LA,HLY_CLOD_PCTBKN_LA,HLY_CLOD_PCTOVC_LA,HLY_HIDX_NORMAL_LA,HLY_WCHL_NORMAL_LA,HLY_WIND_AVGSPD_LA,HLY_WIND_PCTCLM_LA,HLY_WIND_VCTDIR_LA,HLY_WIND_VCTSPD_LA,HLY_WIND_1STDIR_LA,HLY_WIND_1STPCT_LA,HLY_WIND_2NDDIR_LA,HLY_WIND_2NDPCT_LA,Megawatts_2020
02-19T02:00:00,54.0,48.9,59.0,45.4,34.0,54.0,1017.3,1012.0,1021.7,0.0,11.1,26.1,19.5,10.1,21.9,22.4,54.0,53.6,5.0,22.9,63.0,1.6,3.0,29.0,2.0,14.5,240989.0
02-19T03:00:00,53.2,48.0,57.9,45.0,33.1,54.0,1016.9,1011.5,1021.6,0.0,11.8,28.1,16.3,13.3,18.0,24.4,53.2,52.7,4.9,26.7,66.0,1.8,3.0,28.8,2.0,16.8,240483.0
02-19T04:00:00,52.7,46.9,57.9,44.5,32.0,54.0,1016.8,1011.3,1021.6,0.0,12.3,24.8,16.9,13.5,20.0,24.8,52.7,52.0,4.9,24.3,74.0,2.0,3.0,34.5,2.0,14.6,246221.0
02-19T05:00:00,52.2,46.0,57.9,44.1,30.9,54.0,1017.0,1011.4,1021.7,0.0,12.8,24.5,18.2,13.8,18.5,25.0,52.2,51.5,4.8,20.2,70.0,2.4,3.0,33.1,2.0,17.3,266205.0
02-19T06:00:00,52.0,46.0,57.9,43.6,30.0,53.1,1017.2,1011.6,1021.9,0.0,13.0,19.1,19.1,18.6,18.6,24.6,52.0,51.3,5.0,20.4,70.0,2.4,3.0,34.1,2.0,18.9,295136.0
02-19T07:00:00,52.6,46.9,57.9,43.4,30.0,53.1,1017.7,1012.1,1022.3,0.0,12.4,11.7,14.3,25.8,23.5,24.7,52.6,51.8,5.6,15.1,74.0,3.1,3.0,37.5,2.0,18.5,305292.0
02-19T08:00:00,54.8,48.9,60.1,43.9,30.0,54.0,1018.2,1012.3,1022.8,0.0,10.3,11.1,17.7,21.8,26.8,22.5,54.8,54.3,5.6,14.2,69.0,3.1,3.0,35.3,2.0,21.9,295560.0
02-19T09:00:00,57.8,52.0,64.8,44.3,30.9,54.0,1018.5,1012.6,1023.3,0.4,7.6,10.8,17.7,24.4,23.9,23.2,57.8,57.6,6.1,13.8,83.0,2.6,3.0,35.0,4.0,12.9,278850.0
02-19T10:00:00,60.3,54.0,69.1,44.2,30.0,55.0,1018.6,1012.9,1023.2,1.0,5.7,11.8,15.3,20.0,29.0,23.9,60.3,60.3,6.5,13.2,107.0,1.3,3.0,21.8,4.0,17.9,263897.0
02-19T11:00:00,62.3,55.0,72.0,44.0,28.9,54.0,1018.5,1012.8,1023.2,1.7,4.4,13.0,18.5,23.8,24.0,20.8,62.3,62.3,7.1,11.4,216.0,2.1,7.0,23.1,6.0,18.2,255535.0
02-19T12:00:00,63.1,55.9,72.0,45.0,30.0,55.0,1018.0,1012.3,1022.5,1.9,3.9,12.6,20.4,25.1,22.6,19.3,63.1,63.1,9.1,5.3,243.0,5.7,7.0,43.3,6.0,23.4,252934.0
02-19T13:00:00,63.1,57.0,72.0,45.9,30.9,55.0,1017.2,1011.6,1021.7,1.7,3.6,14.1,17.9,24.8,24.6,18.6,63.1,63.1,10.9,1.6,249.0,8.3,7.0,53.7,6.0,25.6,256449.0
02-19T14:00:00,62.6,57.0,70.0,46.6,34.9,55.9,1016.6,1011.1,1021.0,1.4,3.8,12.4,18.3,26.3,23.4,19.5,62.6,62.6,12.0,0.9,251.0,9.8,7.0,60.2,6.0,24.3,263861.0
02-19T15:00:00,61.9,57.0,69.1,47.1,37.9,55.9,1016.3,1011.1,1020.8,1.1,4.2,11.7,21.4,24.8,23.1,19.2,61.9,61.9,12.6,0.9,254.0,10.6,7.0,66.0,6.0,19.0,274190.0
02-19T16:00:00,60.8,55.9,66.9,47.5,37.0,55.9,1016.2,1011.1,1020.8,0.8,4.9,10.6,21.4,22.4,23.5,22.1,60.8,60.8,12.6,0.7,255.0,10.6,7.0,67.4,6.0,18.6,291024.0
02-19T17:00:00,59.6,55.0,64.9,47.5,37.0,55.9,1016.3,1011.1,1020.6,0.5,6.0,10.6,23.1,23.1,25.2,18.0,59.6,59.5,11.7,0.7,256.0,9.8,7.0,66.5,6.0,19.2,315982.0
