date,HLY_TEMP_NORMAL_LA,HLY_TEMP_10PCTL_LA,HLY_TEMP_90PCTL_LA,HLY_DEWP_NORMAL_LA,HLY_DEWP_10PCTL_LA,HLY_DEWP_90PCTL_LA,HLY_PRES_NORMAL_LA,HLY_PRES_10PCTL_LA,HLY_PRES_90PCTL_LA,HLY_CLDH_NORMAL_LA,HLY_HTDH_NORMAL_LA,HLY_CLOD_PCTCLR_LA,HLY_CLOD_PCTFEW_LA,HLY_CLOD_PCTSCT_LA,HLY_CLOD_PCTBKN_LA,HLY_CLOD_PCTOVC_LA,HLY_HIDX_NORMAL_LA,HLY_WCHL_NORMAL_LA,HLY_WIND_AVGSPD_LA,HLY_WIND_PCTCLM_LA,HLY_WIND_VCTDIR_LA,HLY_WIND_VCTSPD_LA,HLY_WIND_1STDIR_LA,HLY_WIND_1STPCT_LA,HLY_WIND_2NDDIR_LA,HLY_WIND_2NDPCT_LA,AvgMegawatts2019-2020-2021
01-17T22:00:00,57.1,52.0,63.0,45.2,28.9,55.9,1019.0,1014.4,1023.2,0.1,8.0,36.2,15.6,12.1,19.0,17.2,57.1,57.0,5.0,21.2,349.0,0.3,3.0,17.6,7.0,13.1,278268.3333333333
01-17T23:00:00,56.7,51.8,62.1,44.6,28.0,55.0,1019.1,1014.5,1023.2,0.1,8.4,37.4,18.7,11.0,17.0,16.0,56.7,56.5,5.0,18.9,82.0,0.8,3.0,22.5,4.0,12.9,246470.66666666666
01-18T00:00:00,55.9,51.1,61.0,43.8,27.0,55.0,1019.0,1014.4,1023.0,0.1,9.2,36.2,19.4,13.6,15.4,15.4,55.9,55.7,5.1,20.2,59.0,1.4,3.0,25.6,2.0,12.0,269267.0
01-18T01:00:00,54.8,50.0,60.1,43.2,26.1,55.0,1018.8,1014.4,1022.9,0.0,10.2,35.4,18.7,14.7,13.2,18.0,54.8,54.5,4.7,24.7,52.0,1.7,3.0,26.3,2.0,18.2,239392.66666666666
01-18T02:00:00,53.6,48.9,59.0,42.7,26.1,54.0,1018.8,1014.4,1023.0,0.0,11.4,36.4,17.3,12.9,14.9,18.6,53.6,53.3,4.6,26.9,52.0,1.8,3.0,25.3,2.0,19.5,233875.66666666666
01-18T03:00:00,52.9,48.0,57.9,42.3,25.0,54.0,1018.7,1014.3,1022.9,0.0,12.1,35.1,19.2,12.6,13.9,19.2,52.9,52.5,4.5,26.9,58.0,1.8,3.0,29.9,2.0,16.9,232333.0
01-18T04:00:00,52.2,46.9,57.9,41.8,25.0,54.0,1018.5,1014.1,1022.7,0.0,12.8,33.6,14.7,12.8,15.9,23.0,52.2,51.7,4.2,28.0,61.0,2.0,3.0,29.6,2.0,20.1,236881.0
01-18T05:00:00,51.8,46.0,57.0,41.4,25.0,54.0,1018.4,1014.1,1022.7,0.0,13.2,33.3,17.6,11.5,18.3,19.3,51.8,51.2,4.2,28.7,65.0,2.3,3.0,30.3,2.0,18.4,250098.0
01-18T06:00:00,51.7,46.0,57.0,40.9,24.1,54.0,1018.8,1014.3,1023.1,0.0,13.3,33.0,17.5,13.4,17.5,18.6,51.7,51.1,4.3,29.3,68.0,2.1,3.0,28.7,2.0,18.6,270174.6666666667
01-18T07:00:00,52.4,46.9,57.9,40.2,24.1,53.1,1019.2,1014.8,1023.6,0.0,12.6,16.3,23.4,21.8,19.7,18.9,52.4,51.8,4.9,19.8,68.0,2.6,3.0,34.6,2.0,20.1,282678.0
