date,HLY_TEMP_NORMAL_LA,HLY_TEMP_10PCTL_LA,HLY_TEMP_90PCTL_LA,HLY_DEWP_NORMAL_LA,HLY_DEWP_10PCTL_LA,HLY_DEWP_90PCTL_LA,HLY_PRES_NORMAL_LA,HLY_PRES_10PCTL_LA,HLY_PRES_90PCTL_LA,HLY_CLDH_NORMAL_LA,HLY_HTDH_NORMAL_LA,HLY_CLOD_PCTCLR_LA,HLY_CLOD_PCTFEW_LA,HLY_CLOD_PCTSCT_LA,HLY_CLOD_PCTBKN_LA,HLY_CLOD_PCTOVC_LA,HLY_HIDX_NORMAL_LA,HLY_WCHL_NORMAL_LA,HLY_WIND_AVGSPD_LA,HLY_WIND_PCTCLM_LA,HLY_WIND_VCTDIR_LA,HLY_WIND_VCTSPD_LA,HLY_WIND_1STDIR_LA,HLY_WIND_1STPCT_LA,HLY_WIND_2NDDIR_LA,HLY_WIND_2NDPCT_LA,Megawatts_2019,Megawatts_2020,Megawatts_2021
11-14T09:00:00,63.5,57.2,72.0,44.5,25.0,57.0,1018.1,1014.0,1021.9,1.6,3.1,18.8,23.7,22.7,19.3,15.6,63.5,63.5,5.1,16.9,68.0,2.3,3.0,27.5,2.0,18.3,23338.5,20177.58333333333,19448.33333333333
11-14T10:00:00,66.5,60.1,75.9,44.2,25.0,57.0,1018.1,1013.6,1021.9,3.1,1.7,18.8,20.4,23.2,24.8,12.8,66.5,66.4,5.3,18.4,97.0,0.8,3.0,21.2,4.0,13.4,23090.416666666668,19690.416666666668,19553.83333333333
11-14T11:00:00,68.4,61.0,79.0,44.1,24.1,57.0,1017.6,1013.5,1021.7,4.5,1.0,20.4,24.8,24.5,19.1,11.1,68.4,68.4,6.0,14.2,241.0,2.4,7.0,27.9,6.0,14.9,23306.25,19335.666666666668,19781.33333333333
11-14T12:00:00,68.9,62.1,78.1,45.7,27.0,57.0,1016.9,1012.7,1020.6,4.7,0.8,22.0,24.1,25.6,19.2,9.1,68.9,68.9,8.5,6.4,253.0,6.9,7.0,51.9,6.0,23.6,23717.25,19196.25,20362.666666666668
11-14T13:00:00,68.5,61.0,77.0,47.2,28.9,57.0,1016.2,1012.2,1020.0,4.4,0.9,22.3,24.1,25.9,17.5,10.2,68.5,68.5,10.1,2.9,257.0,9.0,7.0,62.8,6.0,23.8,24262.666666666668,19326.166666666668,21293.83333333333
11-14T14:00:00,67.8,61.0,75.9,48.0,32.0,57.9,1015.8,1011.7,1019.6,3.8,1.0,22.5,22.5,26.6,15.2,13.2,67.8,67.8,11.0,1.1,259.0,10.0,7.0,71.4,6.0,19.0,24778.75,19973.25,22626.166666666668
11-14T15:00:00,66.8,61.0,75.0,48.9,34.0,57.9,1015.6,1011.6,1019.4,3.0,1.3,21.8,22.6,27.8,16.6,11.2,66.8,66.8,11.1,0.7,260.0,10.2,7.0,74.6,6.0,17.0,25298.916666666668,21396.666666666668,24336.08333333333
11-14T16:00:00,65.3,60.1,73.0,49.8,37.0,57.9,1015.6,1011.7,1019.5,2.1,1.8,17.3,26.4,19.8,24.8,11.6,65.3,65.3,10.6,0.4,261.0,9.5,7.0,74.1,6.0,16.3,26183.416666666668,23172.666666666668,25666.75
11-14T17:00:00,63.4,57.9,69.1,50.8,39.9,57.9,1015.7,1011.9,1019.5,1.1,2.8,16.8,27.3,25.4,20.4,10.1,63.4,63.4,9.5,1.6,262.0,8.6,7.0,72.4,6.0,17.0,27909.166666666668,25345.666666666668,27021.83333333333
11-14T18:00:00,62.6,57.9,68.0,51.5,42.1,59.0,1016.0,1012.2,1019.9,0.8,3.3,25.7,25.5,16.9,19.6,12.3,62.6,62.6,8.1,5.6,263.0,7.2,7.0,62.4,6.0,21.0,27693.666666666668,25437.166666666668,26566.75
